"ID"	"code"	"name"	"CAT_dimension"	"CAT_multivarMethod"	"CAT_abundance"	"year"	"region.ISO3"	"sys1"	"habitat"	"group"	"sub.group"	"animal.group"	"sys1Grp"	"Total.Number.Species"	"nTrait"
"13"	708	"Fbeta"	"Functional beta diversity or Functional dissimilarity"	"redundancy"	"ordinate"	"no"	2014	"PRT"	"T"	"TEMP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"648"	9
"14"	284	"Fbeta"	"Functional beta diversity or Functional dissimilarity"	"redundancy"	"ordinate"	"no"	2013	"NA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"230"	7
"15"	697	"Fbeta"	"Functional beta diversity or Functional dissimilarity"	"redundancy"	"ordinate"	"no"	2014	"NA"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"286"	6
"16"	298	"Fbeta_FDis"	"Functional beta diversity or Functional dissimilarity calcuated with FDis"	"redundancy"	"ordinate"	"yes"	2014	"GBR"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"105"	11
"17"	618	"Fbeta_FDis"	"Functional beta diversity or Functional dissimilarity calcuated with FDis"	"redundancy"	"ordinate"	"yes"	2014	"SWE"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"125"	7
"18"	427	"Fbeta_FDis"	"Functional beta diversity or Functional dissimilarity calcuated with FDis"	"redundancy"	"ordinate"	"yes"	2014	"DEU"	"T"	"GRAS"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"153"	8
"19"	600	"Fbeta_FDis"	"Functional beta diversity or Functional dissimilarity calcuated with FDis"	"redundancy"	"ordinate"	"yes"	2014	"SWE"	"T"	"AGRI"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"235"	8
"20"	178	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2013	"JPN"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"120"	16
"21"	163	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2012	"MEX"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"79"	9
"22"	248	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"JPN"	"T"	"LAKE"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"56"	14
"23"	23	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2010	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"99"	4
"24"	184	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2012	"GBR"	"T"	"NEAR"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"20"	7
"25"	271	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2012	"NA"	"T"	"TEMP, TROP"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"NA"	6
"26"	349	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"SLB"	"T"	"NEAR"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"NA"	4
"27"	266	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"FRA"	"T"	"TEMP"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"291"	6
"28"	277	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2012	"NA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"844"	5
"29"	215	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2013	"DZA"	"A"	"NEAR"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"46"	9
"30"	626	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"DEU"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"8"	8
"31"	612	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"ARG"	"T"	"DESE"	"animal"	"vertebrates"	"mammals"	"terrestrial animals"	"NA"	11
"32"	295	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"RUS"	"A"	"PELA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"98"	8
"33"	619	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"USA"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"111"	32
"34"	689	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"BEL"	"T"	"AGRI"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"299"	26
"35"	66	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2013	"NA"	"T"	"OTHR"	"animal"	"vertebrates"	"mammals"	"terrestrial animals"	"NA"	13
"36"	749	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"CHN"	"T"	"GRAS"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"8"	5
"37"	57	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2009	"BRA"	"T"	"GRAS"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"NA"	3
"38"	27	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2005	"NA"	"T"	"OTHR"	"animal"	"vertebrates"	"mammals"	"terrestrial animals"	"NA"	11
"39"	75	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2010	"FRA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"239"	6
"40"	498	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"CRI"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"215"	3
"41"	60	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2013	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"191"	8
"42"	223	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2007	"GBR"	"T"	"NEAR, LAKE, TEMP, GRAS"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"192"	6
"43"	91	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2006	"CIV, GUY"	"T"	"TROP"	"animal"	"vertebrates"	"herps"	"terrestrial animals"	"67"	5
"44"	471	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"ZWE"	"T"	"TEMP"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"36"	15
"45"	624	"FD"	"Functional diversity (FD)"	"richness"	"cluster"	"no"	2014	"JPN"	"T"	"TEMP"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"98"	14
"46"	66	"FD-C"	"FD-Contribution"	"richness"	"cluster"	"no"	2013	"NA"	"T"	"OTHR"	"animal"	"vertebrates"	"mammals"	"terrestrial animals"	"NA"	13
"47"	504	"FDc"	"Community-based functional diversity (FDc)"	"richness"	"cluster"	"no"	2014	"FRA"	"T"	"LAKE"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"31"	4
"48"	739	"FDc"	"Community-based functional diversity (FDc)"	"richness"	"cluster"	"no"	2014	"CHN"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"171"	10
"49"	125	"FDc"	"Community-based functional diversity (FDc)"	"richness"	"cluster"	"no"	2014	"IRL, GBR, FRA, DEU, NOR, SWE, DNK, NLD, BEL"	"T"	"GRAS"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"NA"	19
"50"	651	"FDc"	"Community-based functional diversity (FDc)"	"richness"	"cluster"	"no"	2014	"FRA"	"T"	"GRAS"	"plant"	"shrubs, forbs, graminoids"	"NA"	"terrestrial plants"	"291"	6
"51"	68	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"CAN"	"T"	"LAKE"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"96"	8
"52"	137	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2012	"SLB"	"T"	"TROP"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"394"	4
"53"	14	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"52"	5
"54"	102	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"SWE"	"A"	"RIPA"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"21"	5
"55"	600	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"SWE"	"T"	"AGRI"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"235"	8
"56"	251	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2012	"DEU"	"T"	"NEAR"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"NA"	3
"57"	298	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"GBR"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"105"	11
"58"	105	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"AUS"	"T"	"TROP"	"plant"	"forbs"	"NA"	"terrestrial plants"	"163"	5
"59"	427	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"DEU"	"T"	"GRAS"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"153"	8
"60"	564	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"FRA, DEU"	"T"	"TEMP"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"30"	3
"61"	664	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"AUS"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"194"	10
"62"	573	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"103"	47
"63"	433	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"ZAF"	"T"	"TROP"	"plant"	"invertebrates, vertebrates"	"NA"	"terrestrial plants"	"131"	3
"64"	250	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"DEU"	"T"	"NEAR"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"105"	3
"65"	303	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"CAN"	"T"	"TEMP"	"plant"	"trees"	"NA"	"terrestrial plants"	"52"	5
"66"	653	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"TUND"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"107"	5
"67"	634	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"57"	7
"68"	739	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"171"	10
"69"	599	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"NZL"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"25"	10
"70"	418	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"AGRI"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"22"	12
"71"	330	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"FRA"	"A"	"RIPA"	"microbes"	"diatoms"	"NA"	"other"	"NA"	2
"72"	325	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"DEU"	"T"	"TEMP"	"microbes"	"fungi"	"NA"	"other"	"NA"	3
"73"	625	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CHE"	"T"	"AGRI"	"animal, plant"	"invertebrates, vertebrates, trees, shrubs, graminoids, forbs"	"NA"	"other"	"574"	4
"74"	144	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"NZL"	"T"	"GRAS"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"NA"	2
"75"	378	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"LAKE"	"plant"	"graminoids, forbs, trees"	"NA"	"terrestrial plants"	"5"	3
"76"	87	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"IDN"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"64"	5
"77"	267	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2012	"USA"	"T"	"TUND"	"plant"	"forbs, shrubs"	"NA"	"terrestrial plants"	"75"	5
"78"	617	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"ESP"	"T"	"TEMP"	"plant"	"trees"	"NA"	"terrestrial plants"	"120"	5
"79"	655	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"TEMP"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"248"	4
"80"	60	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2013	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"191"	8
"81"	419	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"SWE"	"A"	"RIPA"	"animal"	"invertebrates"	"arthropods"	"aquatic animals"	"NA"	5
"82"	618	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"SWE"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"125"	7
"83"	17	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"NZL, FRA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"54"	7
"84"	275	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CAN, USA"	"T"	"TEMP"	"plant"	"trees"	"NA"	"terrestrial plants"	"18"	4
"85"	408	"FDis"	"Functional dispersion (FDis)"	"divergence"	"ordinate"	"yes"	2014	"CHL"	"T, A"	"OTHR"	"animal"	"vertebrates"	"mammals"	"other"	"46"	5
"86"	739	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"171"	10
"87"	251	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2012	"DEU"	"T"	"NEAR"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"NA"	3
"88"	537	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"ITA"	"T"	"DESE"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"23"	28
"89"	380	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"ESP"	"T"	"GRAS"	"plant"	"nonvascular"	"NA"	"terrestrial plants"	"21"	5
"90"	82	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"CHN"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"NA"	4
"91"	60	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"NA"	"terrestrial animals"	"191"	8
"92"	167	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"JPN"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"102"	8
"93"	35	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"FRA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"35"	13
"94"	570	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"MEX"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"64"	6
"95"	573	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"103"	47
"96"	707	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"PNG"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"90"	5
"97"	312	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"11"	8
"98"	43	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2012	"BOL"	"T"	"TROP"	"plant"	"trees"	"NA"	"terrestrial plants"	"77"	12
"99"	535	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"BRA"	"T"	"GRAS"	"plant"	"trees"	"NA"	"terrestrial plants"	"443"	6
"100"	641	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"530"	9
"101"	685	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"CHE"	"T"	"AGRI"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"52"	10
"102"	242	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"DEU"	"T"	"GRAS"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"60"	18
"103"	158	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"GBR"	"T"	"GRAS"	"plant"	"graminoids, forbs, shrubs"	"NA"	"terrestrial plants"	"NA"	9
"104"	581	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"GBR
"	"T"	"GRAS"	"plant"	"invertebrates, graminoids, forbs, shrubs, trees, nonvascular"	"arthropods"	"terrestrial plants"	"157"	15
"105"	349	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"SLB"	"T"	"NEAR"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"NA"	4
"106"	619	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"111"	32
"107"	378	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"T"	"LAKE"	"plant"	"graminoids, forbs, trees"	"NA"	"terrestrial plants"	"5"	3
"108"	87	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"IDN"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"64"	5
"109"	448	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"USA"	"A"	"LAKE"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"6"	4
"110"	17	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"NZL, FRA"	"T"	"TEMP"	"animal"	"vertebrates"	"birds"	"terrestrial animals"	"54"	7
"111"	81	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2012	"GRC"	"A"	"NEAR"	"animal"	"invertebrates"	"NA"	"aquatic animals"	"5"	7
"112"	618	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"SWE"	"T"	"AGRI"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"125"	7
"113"	357	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"T"	"TROP"	"plant"	"shrubs, trees"	"NA"	"terrestrial plants"	"274"	4
"114"	207	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"GBR"	"T"	"AGRI"	"plant"	"graminoids, forbs, shrubs, nonvascular"	"NA"	"terrestrial plants"	"NA"	19
"115"	689	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"BEL"	"T"	"AGRI"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"299"	26
"116"	62	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2013	"ARG"	"T"	"TROP"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"27"	6
"117"	421	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"CHN"	"A"	"LAKE"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"17"	16
"118"	208	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2011	"GBR"	"T"	"AGRI"	"plant"	"trees, shrubs, graminoids, forbs, nonvascular"	"NA"	"terrestrial plants"	"148"	8
"119"	206	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2014	"GBR"	"T"	"GRAS"	"animal, plant"	"invertebrates, graminoids, forbs"	"arthropods"	"other"	"32"	14
"120"	20	"FDiv"	"Functional divergence (FDiv)"	"divergence"	"ordinate"	"yes"	2011	"DEU"	"T"	"GRAS"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"22"	14
"121"	641	"FDp"	"Plot-based functional diversity (FDp)"	"richness"	"cluster"	"no"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"530"	9
"122"	739	"FDp"	"Plot-based functional diversity (FDp)"	"richness"	"cluster"	"no"	2014	"CHN"	"T"	"TEMP"	"plant"	"trees, shrubs, graminoids, forbs"	"NA"	"terrestrial plants"	"171"	10
"123"	28	"FEq"	"Functional evenness using Rao's Q"	"evenness"	"distance-only"	"yes"	2014	"CHN"	"T"	"TROP"	"plant"	"trees, shrubs"	"NA"	"terrestrial plants"	"130"	25
"124"	338	"FEq"	"Functional evenness using Rao's Q"	"evenness"	"distance-only"	"yes"	2014	"CHN"	"T"	"TEMP"	"plant"	"shrubs, trees"	"NA"	"terrestrial plants"	"120"	26
"125"	20	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2011	"DEU"	"T"	"GRAS"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"22"	14
"126"	378	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"USA"	"T"	"LAKE"	"plant"	"graminoids, forbs, trees"	"NA"	"terrestrial plants"	"5"	3
"127"	253	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2012	"NA"	"A"	"RIPA"	"animal"	"vertebrates"	"fish"	"aquatic animals"	"230"	14
"128"	655	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"USA"	"T"	"TEMP"	"plant"	"graminoids, forbs"	"NA"	"terrestrial plants"	"248"	4
"129"	333	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"NA"	"A"	"NEAR"	"animal"	"invertebrates"	"mollusks"	"aquatic animals"	"993"	5
"130"	87	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"IDN"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"64"	5
"131"	14	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"BRA"	"T"	"TROP"	"animal"	"invertebrates"	"arthropods"	"terrestrial animals"	"52"	5
"132"	208	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2011	"GBR"	"T"	"AGRI"	"plant"	"trees, shrubs, graminoids, forbs, nonvascular"	"NA"	"terrestrial plants"	"148"	8
"133"	206	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2014	"GBR"	"T"	"GRAS"	"animal, plant"	"invertebrates, graminoids, forbs"	"arthropods"	"other"	"32"	14
"134"	215	"FEve"	"Functional evenness (FEve)"	"evenness"	"ordinate"	"yes"	2013	"DZA"	"A"	"NEAR"	"plant"	"graminoids, forbs"	"NA"	"aquatic plants"	"46"	9
