ID,year,accept.reject,region.ISO3,sys1,habitat,sys2,group,sub.group,animal.group,Total.Number.Species,multivar.FD.Measure,total.number.traits
60,2013,accept,BRA,T,TROP,11,animal,invertebrates,NA,191,"FD, FDis, FDiv",8
61,2014,pancake,"PRT, ESP",T,GRAS,7,plant,nonvascular,NA,21,NA,5
62,2013,accept,ARG,T,TROP,24,plant,"trees, shrubs",NA,27,FDiv,6
63,2006,accept,USA,T,"TEMP, GRAS","8,10 ",plant,"trees, shrubs",NA,54,FRic,4
64,1994,pancake,ZAF,T,DESE,25,plant,forbs,NA,NA,NA,1
66,2013,accept,NA,T,OTHR,32,animal,vertebrates,mammals,NA,"FD, FD-C",13
68,2013,accept,CAN,T,LAKE,3,plant,"trees, shrubs, graminoids, forbs",NA,96,FDis,8
69,2003,pancake,NA,T,TROP,11,animal,invertebrates,arthropods,NA,NA,3
72,2009,accept,ESP,T,GRAS,17,plant,"graminoids, forbs, shrubs",NA,8,Rao,10
73,2009,pancake,ESP,T,GRAS,7,plant,"graminoids, forbs",NA,NA,NA,1
74,1999,AWCD,CAN,T,TUND,14,microbes,bacteria,NA,NA,NA,1
75,2010,accept,FRA,T,TEMP,32,animal,vertebrates,birds,239,FD,6
80,2014,AWCD,USA,A,LAKE,1,microbes,bacterioplankton,NA,NA,NA,7
81,2012,accept,GRC,A,NEAR,3,animal,invertebrates,NA,5,"FDiv, FRq",7
82,2013,accept,CHN,T,TEMP,"10,20",animal,vertebrates,birds,NA,"FRic, FEve, FDiv",4
84,2006,pancake,AUS,A,RIPA,2,plant,"graminoids, forbs, shrubs, nonvascular",NA,NA,NA,1
85,2012,pancake,FRA,T,GRAS,7,plant,graminoids,NA,NA,NA,1
87,2014,accept,IDN,T,TROP,11,animal,invertebrates,arthropods,64,"FEve, FRic, FDiv, FDis, FSpe",5
91,2006,accept,"CIV, GUY",T,TROP,11,animal,vertebrates,herps,67,FD,5
96,2014,pancake,CHN,T,"TEMP, TROP","10,11, 24",plant,"trees, shrubs",NA,1112,NA,1
97,2009,pancake,FRA,T,AGRI,"13, 21",animal,vertebrates,birds,51,NA,1
99,2011,AWCD,FRA,T,AGRI,13,microbes,bacteria,NA,NA,NA,1
102,2014,accept,SWE,A,RIPA,2,animal,invertebrates,NA,21,FDis,5
105,2013,accept,AUS,T,TROP,11,plant,forbs,NA,163,FDis,5
107,2014,pancake,NA,A,PELA,6,animal,invertebrates,nematodes,NA,NA,1
113,2009,accept,GBR,A,NEAR,4,plant,algae,NA,6,FAD2,4
117,2011,pancake,"SWE, EST, POL, NLD, ITA, DEU, ESP, IRL",T,AGRI,13,animal,vertebrates,birds,30,NA,4
118,2008,pancake,NA,A,"NEAR, PELA","4,6",animal,vertebrates,fish,1623,NA,3
120,2012,coInertia,AUS,T,TEMP,10,animal,vertebrates,mammals,10,NA,3
123,2013,accept,CZE,T,GRAS,7,plant,forbs,NA,13,"MPD, FRic, FEve, M-NND, SD-NND",4
125,2014,accept,"IRL, GBR, FRA, DEU, NOR, SWE, DNK, NLD, BEL",T,GRAS,7,plant,"graminoids, forbs, shrubs",NA,NA,"FDc, wFDc, Rao, RaoR",19
128,2012,accept,BRA,T,TROP,11,animal,vertebrates,birds,162,sesClust-MPD,7
132,2014,accept,USA,T,GRAS,7,plant,"graminoids, forbs",NA,46,FRic,4
134,2010,pancake,LUX,T,GRAS,7,plant,"graminoids, forbs",NA,61,NA,3
137,2012,accept,SLB,T,TROP,11,plant,"graminoids, forbs, shrubs",NA,394,"FRic, FEve, FDis",4
141,2013,pancake,DEU,T,GRAS,7,plant,"graminoids, forbs",NA,220,NA,1
142,2012,pancake,ITA,T,"TEMP, AGRI","10,13",microbes,microbemix,NA,NA,NA,2
143,2001,AWCD,ISR,T,AGRI,13,microbes,bacteria,NA,NA,NA,1
144,2013,accept,NZL,T,GRAS,7,plant,"graminoids, forbs, shrubs",NA,NA,"FRic, FDis",2
146,2008,pancake,NA,T,"GRAS, NEAR, AGRI","13, 21,7,17,3,4",plant,"trees, shrubs, graminoids, forbs",NA,NA,NA,3
147,2012,accept,CHN,T,GRAS,23,plant,"trees, shrubs",NA,55,Rao,12
148,2011,coInertia,AUS,T,GRAS,7,animal,invertebrates,arthropods,179,NA,10
151,2011,accept,USA,T,TEMP,10,plant,"graminoids, forbs, shrubs",NA,NA,Rao,8
153,2001,pancake,ATA,T,TUND,14,microbes,microbemix,NA,NA,NA,1
155,2011,pancake,"ISR, FRA, PRT, CZE",T,GRAS,7,plant,"graminoids, forbs, shrubs",NA,NA,NA,3
156,2008,pancake,FRA,T,GRAS,17,plant,"shrubs, forbs, graminoids",NA,NA,NA,5
157,2010,AWCD,JAM,T,TROP,11,microbes,microbemix,NA,NA,NA,1
158,2014,accept,GBR,T,GRAS,7,plant,"graminoids, forbs, shrubs",NA,NA,"sesFRic, sesFDiv",9
159,2011,accept,CHN,T,GRAS,30,plant,"graminoids, forbs",NA,NA,Rao,2
161,2013,AWCD,CHN,T,AGRI,13,microbes,bacteria,NA,NA,NA,1
162,2008,AWCD,CHN,T,GRAS,7,microbes,microbemix,NA,NA,NA,1
163,2012,accept,MEX,T,TROP,11,plant,trees,NA,79,"FD, wFDc",9
167,2013,accept,JPN,T,TROP,24,plant,trees,NA,102,"sesFDiv, sesFEve, sesFRic",8
169,2014,coInertia,SWE,T,"GRAS, AGRI","7,13",plant,"graminoids, forbs, shrubs",NA,107,NA,3
170,2010,pancake,CHE,T,GRAS,17,plant,"graminoids, forbs, nonvascular",NA,20,NA,1
171,2012,pancake,MDG,T,"TEMP, AGRI","10,13",animal,vertebrates,birds,52,NA,2
178,2013,accept,JPN,A,RIPA,2,animal,vertebrates,fish,120,sesFD,16
179,2005,pancake,CRI,T,TROP,11,plant,"graminoids, forbs, shrubs",NA,668,NA,6
184,2012,accept,GBR,T,NEAR,5,animal,vertebrates,birds,20,sesFD,7
188,2014,accept,DEU,T,GRAS,7,plant,"graminoids, forbs",NA,NA,Rao,20
189,2013,pancake,ESP,T,AGRI,13,microbes,microbemix,NA,NA,NA,2
197,2014,accept,CHN,T,GRAS,17,plant,"graminoids, forbs",NA,32,"Rao, FRic, FEve",3
198,2013,accept,USA,T,TEMP,10,plant,trees,NA,45,Rao,4
199,2007,pancake,SWE,A,NEAR,4,animal,invertebrates,NA,9,NA,1
200,2012,pancake,IDN,T,TROP,29,plant,trees,NA,22,NA,5
205,2013,pancake,FRA,A,RIPA,2,animal,invertebrates,NA,NA,NA,11
206,2014,accept,GBR,T,GRAS,7,"animal, plant","invertebrates, graminoids, forbs",arthropods,32,"sesFRic, sesFEve, sesFDiv",14
207,2013,accept,GBR,T,AGRI,13,plant,"graminoids, forbs, shrubs, nonvascular",NA,NA,"sesFRic, sesFEve, sesFDiv",19
208,2011,accept,GBR,T,AGRI,13,plant,"trees, shrubs, graminoids, forbs, nonvascular",NA,148,"FRic, FEve, FDiv",8
209,2013,accept,HUN,A,LAKE,1,plant,algae,NA,124,"Clust-Evenness, Clust-ShannonsH",7
210,2008,pancake,"ALB, GRC, MKD",T,AGRI,13,microbes,microbemix,NA,NA,NA,1
211,2012,pancake,GUF,T,TROP,11,plant,forbs,NA,NA,NA,2
213,2013,pancake,USA,T,TEMP,10,plant,trees,NA,24,NA,11
214,2012,reject,ZAF,T,GRAS,8,animal,vertebrates,birds,4,NA,1
215,2013,accept,DZA,A,NEAR,26,plant,"graminoids, forbs",NA,46,"FAD2, MFAD, M-NND, sesRaoB, sesRao, sesFD, sesHED, sesEED, sesFEve",9
223,2007,accept,GBR,T,"NEAR, LAKE, TEMP, GRAS",32,animal,vertebrates,birds,192,FD,6
225,2011,pancake,PRT,T,TEMP,12,plant,nonvascular,NA,28,NA,1
233,2014,pancake,GBR,T,OTHR,32,plant,"trees, shrubs, graminoids, forbs",NA,NA,NA,9
235,2013,accept,SWE,T,GRAS,7,plant,"graminoids, forbs",NA,234,"MPDTw, MPDTw_beta",11
237,2013,pancake,USA,T,GRAS,7,"animal, plant","invertebrates, forbs",NA,36,NA,8
242,2013,accept,DEU,T,GRAS,7,plant,"graminoids, forbs",NA,60,"Rao, FRic, FDiv, FEve",18
246,2006,AWCD,ESP,A,NEAR,4,microbes,bacterioplankton,NA,NA,NA,1
247,2005,AWCD,ATA,A,PELA,6,microbes,bacterioplankton,NA,NA,NA,1
248,2014,accept,JPN,T,LAKE,3,plant,"graminoids, forbs, shrubs",NA,56,"sesFD, sesRao",14
249,2008,accept,DEU,T,GRAS,7,plant,"graminoids, forbs",NA,31,Rao,6
250,2013,accept,DEU,T,NEAR,15,animal,invertebrates,NA,105,FDis,3
251,2012,accept,DEU,T,NEAR,20,animal,invertebrates,NA,NA,"FDis, FEve, FDiv",3
253,2012,accept,NA,A,RIPA,2,animal,vertebrates,fish,230,"sesFEve, sesRao",14
256,2009,pancake,USA,T,GRAS,7,plant,"graminoids, forbs",NA,3,NA,3
258,1998,AWCD,"DNK, DEU, ITA",T,AGRI,13,microbes,bacteria,NA,NA,NA,1
259,2008,pancake,IRL,T,GRAS,7,animal,invertebrates,annelids,9,NA,2
260,2012,AWCD,NA,T,"GRAS, TEMP, DESE",32,microbes,bacteria,NA,NA,NA,4
262,2011,pancake,USA,T,TEMP,28,plant,"graminoids, forbs",NA,79,NA,20
265,1995,pancake,NZL,T,GRAS,17,plant,"graminoids, forbs, shrubs",NA,29,NA,1
266,2014,accept,FRA,T,TEMP,10,plant,"graminoids, forbs",NA,291,"FRic, FD",6
267,2012,accept,USA,T,TUND,14,plant,"forbs, shrubs",NA,75,sesFDis,5
269,2003,pancake,NA,T,TEMP,10,animal,vertebrates,mammals,NA,NA,7
271,2012,accept,NA,T,"TEMP, TROP","10,11",plant,"trees, shrubs",NA,NA,"sesFD, sesMPD, sesM-NND",6
273,2001,AWCD,ISR,T,GRAS,8,microbes,bacteria,NA,NA,NA,1
275,2014,accept,"CAN, USA",T,TEMP,10,plant,trees,NA,18,FDis,4
276,2012,pancake,NA,A,"NEAR, PELA","4,6",animal,"invertebrates, vertebrates",fish,56,NA,25
277,2012,accept,NA,T,TEMP,10,animal,vertebrates,birds,844,FD,5
278,2012,pancake,USA,T,AGRI,13,microbes,bacteria,NA,10,NA,10
283,2003,pancake,"BEL, CZE, DNK, FRA, GBR, DEU, POL, SWE, CAN, USA",T,TEMP,10,plant,"graminoids, forbs",NA,206,NA,13
284,2013,accept,NA,A,RIPA,2,animal,vertebrates,fish,230,Fbeta,7
290,2002,accept,AUS,T,GRAS,8,plant,"graminoids, forbs, shrubs",NA,67,FAD2,5
295,2014,accept,RUS,A,PELA,6,animal,vertebrates,fish,98,FD,8
296,1996,AWCD,USA,T,TROP,11,microbes,bacteria,NA,NA,NA,4
297,2010,accept,GBR,T,AGRI,13,animal,invertebrates,arthropods,42,Rao,11
298,2014,accept,GBR,T,AGRI,13,animal,invertebrates,arthropods,105,"sesFDis, sesFbeta_FDis",11
299,2009,AWCD,CHN,T,AGRI,13,microbes,bacteria,NA,NA,NA,1
301,2007,AWCD,CHN,T,AGRI,31,microbes,bacteria,NA,NA,NA,1
302,2010,AWCD,CHN,T,TEMP,10,microbes,bacteria,NA,NA,NA,2
303,2013,accept,CAN,T,TEMP,10,plant,trees,NA,52,FDis,5
304,2014,accept,USA,A,NEAR,5,animal,vertebrates,fish,50,Clust-Rao,28
305,2006,accept,ESP,T,GRAS,17,plant,"graminoids, forbs",NA,54,Rao,9
308,2014,accept,IND,T,TROP,12,plant,nonvascular,NA,99,FRic,9
312,2014,accept,USA,T,TEMP,10,plant,"trees, shrubs, graminoids, forbs",NA,11,"FDiv, FRic, FEve",8
313,2014,AWCD,DEU,T,GRAS,7,microbes,microbemix,NA,NA,NA,4
317,2014,visualization,NA,A,LAKE,1,animal,vertebrates,fish,75,NA,10
318,2014,pancake,PER,T,TROP,11,plant,NA,NA,2420,NA,6
319,2014,pancake,SWE,T,LAKE,20,animal,invertebrates,"mollusks
",NA,NA,15
323,2014,AWCD,IND,T,AGRI,13,microbes,bacteria,NA,NA,NA,12
324,2014,AWCD,SVK,T,AGRI,13,microbes,bacteria,NA,NA,NA,3
325,2014,accept,DEU,T,TEMP,10,microbes,fungi,NA,NA,"sesMFPD, FDis",3
326,2014,reject,ITA,A,NEAR,4,"animal, microbes","invertebrates, vertebrates",NA,NA,NA,6
327,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
330,2014,accept,FRA,A,RIPA,2,microbes,diatoms,NA,NA,"Rao, FEve, FDis",2
333,2014,accept,NA,A,NEAR,4,animal,invertebrates,mollusks,993,"FAD1, FEve",5
334,2014,pancake,ESP,T,DESE,15,plant,NA,NA,5,NA,7
337,2014,pancake,MEX,T,TROP,11,plant,NA,NA,63,NA,3
338,2014,accept,CHN,T,"TEMP
",10,plant,"shrubs, trees",NA,120,"Rao, FEq",26
340,2014,accept,USA,A,RIPA,2,animal,invertebrates,arthropods,79,"FEve, Rao",4
342,2014,pancake,"DEU, CHE, AUS",A,LAKE,1,animal,"invertebrates, vertebrates",fish ,NA,NA,15
343,2014,accept,GBR,"A
",NEAR,4,animal,invertebrates,NA,67,Rao,10
346,2014,pancake,NA,NA,NA,NA,NA,,NA,NA,NA,NA
349,2014,accept,SLB,T,NEAR,20,animal,vertebrates,birds,NA,"FD, FRic, FEve, FDiv",2
351,2014,reject,BEL,A,PELA,4,multiple,NA,NA,NA,NA,1
354,2014,reject,AUT,A,LAKE,3,plant,NA,NA,1,NA,9
356,2014,accept,CHN,"T
",TROP,11,plant,"shrubs, trees",NA,274,FRic,7
357,2014,accept,CHN,"T
",TROP,11,plant,"shrubs, trees",NA,274,"FRic, FEve, FDiv",4
359,2014,reject,CHL,A,PELA,6,animal,vertebrates,fish,106,NA,NA
360,2014,pancake,ESP,A,NEAR,4,animal,invertebrates,NA,NA,NA,6
361,2014,accept,FRA,T,TEMP,"21, 10",animal,vertebrates,birds,NA,Rao,6
365,2014,reject,NA,NA,NA,NA,NA,,NA,NA,"Fbeta, RFD_replacemt, RFD_richness, RFD",NA
367,2014,accept,BRA,T,GRAS,23,plant,trees,NA,55,iFD,10
369,2014,accept,ITA,T,GRAS,7,plant,"graminoids, forbs",NA,24,Rao,11
370,2014,accept,"IDN, PAN, UGA, BRA, COD, MYS, MDG, TZA, CRI, PER",T,TROP,11,plant,trees,NA,NA,Rao,2
372,2014,reject,CHN,A,NEAR,5,microbes,bacteria,NA,NA,NA,7
376,2014,pancake,MEX,A,PELA,6,multiple,NA,NA,48,NA,5
378,2014,accept,USA,T,LAKE,3,plant,"graminoids, forbs, trees",NA,5,"FDis, FEve, FDiv",3
380,2014,accept,ESP,T,GRAS,25,plant,nonvascular,NA,21,FDiv,5
381,2014,accept,NA,T,OTHR,32,plant,"trees, shrubs, graminoids, forbs",NA,48324,KSI,5
383,2014,reject,NA,T,AGRI,13,plant,NA,NA,2,NA,5
385,2014,accept,SLB,A,PELA,6,animal,vertebrates,fish,73,PEI,6
386,2014,reject,PER,T,TROP,11,animal,invertebrates,arthropods,NA,NA,1
390,2014,reject,BHS,A,NEAR,4,microbes,microbemix,NA,62,NA,7
408,2014,accept,CHL,"T, A",OTHR,32,animal,vertebrates,mammals,46,"FRic, FDis, FEve",5
412,2014,reject,DEU,A,NEAR,4,microbes,microbemix,NA,4,NA,2
416,2014,accept,ITA,T,AGRI,13,plant,"trees, shrubs, graminoids, forbs",NA,NA,"FEve, Rao",7
418,2014,accept,USA,T,AGRI,13,plant,"trees, shrubs, graminoids, forbs",NA,22,sesFDis,12
419,2014,accept,SWE,A,RIPA,2,animal,invertebrates,arthropods,NA,FDis,5
420,2014,AWCD,ESP,A,RIPA,2,microbes,bacteria,NA,NA,NA,4
421,2014,accept,CHN,A,LAKE,1,plant,"graminoids, forbs",NA,17,"Rao, FRic, FEve, FDiv",16
427,2014,accept,DEU,T,GRAS,7,animal,invertebrates,arthropods,153,"FDis, sesFbeta_FDis",8
429,2014,reject,USA,A,LAKE,2,microbes,microbemix,NA,337,NA,1
432,2014,reject,FRA,A,LAKE,2,microbes,diatoms,NA,18,NA,1
433,2014,accept,ZAF,T,TROP,11,plant,"invertebrates, vertebrates",NA,131,FDis,3
436,2014,pancake,ESP,T,AGRI,13,plant,NA,NA,105,NA,4
439,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
440,2014,pancake,ZAF,T,GRAS,8,plant,NA,NA,NA,NA,11
441,2014,reject,DEU,T,TEMP,9,plant,NA,NA,16,NA,9
444,2014,pancake,MEX,T,TAIG,25,plant,NA,NA,52,NA,9
448,2014,accept,USA,A,LAKE,2,animal,vertebrates,fish,6,"sesFRic, sesFEve, sesFDiv",4
451,2014,accept,CHN,T,TROP,24,plant,"trees, shrubs",NA,159,sesRao,10
455,2014,AWCD,CHN,T,TEMP,10,microbes,microbemix,NA,NA,NA,9
462,2014,pancake,POL,T,TEMP,12,microbes,microbemix,NA,118,NA,2
465,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
466,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
468,2014,reject,DEU,A,LAKE,2,"animal, plant","invertebrates, vertebrates",fish,20,NA,5
470,2014,reject,BRA,A,RIPA,2,animal,invertebrates,zooplankton,104,NA,1
471,2014,accept,ZWE,T,TEMP,10,plant,"trees, shrubs",NA,36,sesFD,15
472,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
474,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
475,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
483,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
486,2014,accept,USA,A,LAKE,1,animal,invertebrates,NA,222,Rao,1
490,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
493,2014,AWCD,KEN,T,AGRI,13,microbes,microbemix,NA,NA,NA,13
495,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
497,2014,pancake,CRI,T,TROP,11,plant,NA,NA,215,NA,7
498,2014,accept,CRI,T,TROP,11,plant,trees,NA,215,FD,3
499,2014,pancake,CHN,T,TROP,11,plant,NA,NA,22,NA,6
500,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
501,2014,accept,SWE,T,GRAS,7,plant,"graminoids, forbs",NA,NA,"withinSpRao, betweenSpRao, Rao",3
502,2014,accept,FRA,T,GRAS,7,microbes,microbemix,NA,4,"FRic, Rao",3
503,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
504,2014,accept,FRA,T,LAKE,3,animal,invertebrates,arthropods,31,FDc,4
506,2014,accept,AUS,T,GRAS,31,plant,"graminoids, forbs",NA,30,"sesM-NND, sesMPD, sesM-NND_beta, sesMPD_beta",9
507,2014,accept,"GBR
",T,GRAS,7,plant,"graminoids, forbs",NA,321,"sesFRic, sesFDiv",9
508,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
509,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
511,2014,AWCD,CHN,T,AGRI,13,microbes,bacteria,NA,NA,NA,NA
512,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
513,2014,AWCD,CHN,T,TROP,8,plant,NA,NA,2,NA,6
522,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
526,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
527,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
528,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
529,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
534,2014,pancake,FIN,T,"RIPA, TEMP, AGRI","2,10,13",plant,"graminoids, forbs, shrubs",NA,NA,NA,6
535,2014,accept,BRA,T,GRAS,23,plant,trees,NA,443,"FDiv, FRic, FEve",6
537,2014,accept,ITA,T,DESE,15,plant,"graminoids, forbs, shrubs",NA,23,"FDiv, FRic, FEve, Rao",29
539,2014,reject,USA,T,GRAS,7,plant,NA,NA,35,NA,4
540,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
541,2014,AWCD,ISR,T,DESE,8,microbes,microbemix,NA,NA,NA,5
542,2014,AWCD,GRC,T,AGRI,13,microbes,microbemix,NA,NA,NA,5
543,2014,pancake,FRA,T,"GRAS, AGRI","7,13",plant,"graminoids, forbs",NA,NA,NA,6
545,2014,reject,NA,A,PELA,6,animal,invertebrates,NA,13,NA,3
546,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
550,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
551,2014,pancake,"BHS, TCA",A,PELA,6,animal,vertebrates,fish,168,NA,3
552,2014,accept,GER,T,GRAS,7,plant,"graminoids, forbs",NA,NA,Rao,10
554,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
556,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
557,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
559,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
560,2014,pancake,FRA,T,TEMP,7,animal,vertebrates,birds,116,NA,22
561,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
562,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
564,2014,accept,"FRA, DEU",T,TEMP,10,plant,"trees, shrubs",NA,30,FDis,3
565,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
566,2014,accept,NA,A,NEAR,4,animal,vertebrates,fish,222,"FRic, FV, FOR",6
568,2014,accept,DEU,T,TEMP,10,animal,invertebrates,arthropods,231,sesMPD,7
569,2014,reject,USA,T,TEMP,10,microbes,microbemix,NA,109,NA,2
570,2014,accept,MEX,T,TROP,11,plant,trees,NA,64,"Rao, FRic, FEve, FDiv",6
573,2014,accept,CHN,T,TROP,11,plant,trees,NA,103,"FDis, FDiv",48
577,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
580,2014,accept,"GBR
",T,"GRAS
",7,plant,"graminoids, forbs",NA,NA,"Rao, FEve",11
581,2014,accept,"GBR
",T,"GRAS
",7,plant,"invertebrates, graminoids, forbs, shrubs, trees, nonvascular",arthropods,157,"sesFDiv, sesFEve, sesFRic",15
586,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
588,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
590,2014,accept,FRA,T,AGRI,13,animal,invertebrates,annelids,11,Rao,7
594,2014,reject,CAN,A,LAKE,14,microbes,microbemix,NA,NA,NA,6
595,2014,accept,FRA,A,LAKE,2,animal,vertebrates,fish,37,FRic,10
596,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
597,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
598,2014,accept,USA,T,TEMP,7,plant,"graminoids, forbs",NA,10,NA,3
599,2014,accept,NZL,T,AGRI,13,animal,invertebrates,arthropods,25,"FDis, sesFRic",10
600,2014,accept,SWE,T,AGRI,13,plant,"graminoids, forbs, shrubs",NA,235,"sesFDis, sesFRic, sesFbeta_FDis",9
602,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
603,2014,accept,CAF,T,TROP,24,plant,trees,NA,90,"Rao_alpha, Rao_beta, Rao_gamma",6
604,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
605,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
612,2014,accept,ARG,T,DESE,25,animal,vertebrates,mammals,NA,"FD, Rao",11
614,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
615,2014,AWCD,ESP,A,LAKE,1,microbes,microbemix,NA,NA,NA,5
616,2014,reject,USA,T,OTHR,31,animal,invertebrates,arthropods,3,NA,2
617,2014,accept,ESP,T,TEMP,10,plant,trees,NA,120,FDis,5
618,2014,accept,SWE,T,AGRI,13,animal,invertebrates,arthropods,125,"FEve, FDiv, FDis, FRic, sesFbeta_FDis",8
619,2014,accept,USA,T,TEMP,7,plant,"trees, shrubs, graminoids, forbs",NA,111,"FRic, FD, FEve, OFRO, FDiv, Rao",32
621,2014,pancake,MDV,A,PELA,6,animal,invertebrates,nematodes,NA,NA,1
622,2014,reject,NA,NA,NA,NA,NA,,NA,NA,NA,NA
624,2014,accept,JPN,T,TEMP,3,plant,"graminoids, forbs, shrubs",NA,98,"sesRao, sesFD",14
