ID,AUTHORS,PUBLICATION.YEAR,TraitNum,Trait.Name,Trait.Category.New,Trait.Source,Trait.Source.Info,Trait.Rationale,Rationale.Description,Notes,NOT A TRAIT?,
670,"Tarrason, David (d.tarrason@creaf.uab.cat) ; Ojeda, Gerardo; Ortiz, Oriol; Alcaniz, Josep M.",2014,670.01,species,unclassified,1,,none,,,not a valid trait,
673,"Teng, Yanguo (teng1974@163.com) ; Su, Jie; Wang, Jinsheng; Dai, Ning; Li, Jian; Song, Liuting; Zuo, Rui",2014,673.05,DNA extraction,unclassified,1,,none,,,not a valid trait,
673,"Teng, Yanguo (teng1974@163.com) ; Su, Jie; Wang, Jinsheng; Dai, Ning; Li, Jian; Song, Liuting; Zuo, Rui",2014,673.06,16S rDNA gene,unclassified,1,,none,,,not a valid trait,
695,"Vigneron, Adrien (avignero@gmail.com) ; Cruaud, Perrine; Roussel, Erwan G.; Pignet, Patricia; Caprais, Jean-Claude; Callac, Nolwenn; Ciobanu, Maria-Cristina; Godfroy, Anne; Cragg, Barry A.; Parkes, John R.; Van Nostrand, Joy D.; He, Zhili; Zhou, Jizhong; Toffin, Laurent",2014,695.01,16S rRNA,unclassified,1,,none,,,not a valid trait,
695,"Vigneron, Adrien (avignero@gmail.com) ; Cruaud, Perrine; Roussel, Erwan G.; Pignet, Patricia; Caprais, Jean-Claude; Callac, Nolwenn; Ciobanu, Maria-Cristina; Godfroy, Anne; Cragg, Barry A.; Parkes, John R.; Van Nostrand, Joy D.; He, Zhili; Zhou, Jizhong; Toffin, Laurent",2014,695.02,GeoChip analysis,unclassified,1,,none,,,not a valid trait,
700,"Wang, Jiang; Ge, Yuan (gyuan@bren.ucsb.edu) ; Chen, Tong; Bai, Yi; Qian, Bao Ying; Zhang, Chong Bang",2014,700.01,species richness,unclassified,1,,none,,,not a valid trait,
730,"Yin, Rui; Deng, Huan (hdeng@iue.ac.cn) ; Wang, Hui-li; Zhang, Bin",2014,730.1,amount of NH4+,unclassified,1,,none,,,not a valid trait,
743,"Zhao, Mengxin; Xue, Kai; Wang, Feng; Liu, Shanshan; Bai, Shijie; Sun, Bo; Zhou, Jizhong; Yang, Yunfeng (yangyf@tsinghua.edu.cn)",2014,743.01,16S ribosomal DNA,unclassified,1,,none,,,not a valid trait,
743,"Zhao, Mengxin; Xue, Kai; Wang, Feng; Liu, Shanshan; Bai, Shijie; Sun, Bo; Zhou, Jizhong; Yang, Yunfeng (yangyf@tsinghua.edu.cn)",2014,743.02,PLFA content,unclassified,1,,none,,,not a valid trait,
743,"Zhao, Mengxin; Xue, Kai; Wang, Feng; Liu, Shanshan; Bai, Shijie; Sun, Bo; Zhou, Jizhong; Yang, Yunfeng (yangyf@tsinghua.edu.cn)",2014,743.03,microbial genomic DNA,unclassified,1,,none,,,not a valid trait,
746,"Zhao, Yang-Guo (ygzhao@ouc.edu.cn) ; Feng, Gong; Bai, Jie; Chen, Min; Maqbool, Farhana",2014,746.01,16S ribosomal DNA,unclassified,1,,none,,,not a valid trait,
35,"Buisson, L; Grenouillet, G; Villeger, S; Canal, J; Laffaille, P",2013,35.07,rheophily,habitat,NA,NA,general,Traits were selected because they were the most commonly used and least redundant,Preference for fast moving water,,
284,"Villeger, S; Grenouillet, G; Brosse, S",2013,284.06,rheophily,habitat,"2,3",Kottelat & Freyhof (2007) and http://www.fishbase.org,general,Aim to describe the fish functional niche by considering more specifically food acquisition and habitat preference.,Preference for fast moving water,,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.03,life cycle duration,longevity,3,Devictor et al. 2012,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 10",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.04,diet type,resource use,3,Devictor et al. 2013,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 11",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.05,foraging method,resource use,3,Devictor et al. 2014,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 12",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.06,nest location,habitat,3,Devictor et al. 2015,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 13",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.07,foraging substrate,resource use,3,Devictor et al. 2016,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 14",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.08,foraging period,temporal partitioning,3,Devictor et al. 2017,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 15",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.01,body size,body size,3,Devictor et al. 2010,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 8",,
560,"Monnet, Anne-Christine; Jiguet, Frederic; Meynard, Christine N.; Mouillot, David; Mouquet, Nicolas; Thuiller, Wilfried; Devictor, Vincent (vincent.devictor@univ-montp2.fr)",2014,560.02,clutch size,body size,3,Devictor et al. 2011,general,"reflecting species resource use and breeding such as the life history traits, the diet and feeding behavior, the nest location, and the activity rhythms","there are actually 22 traits, simplified to 9",,
223,"Petchey, OL; Evans, KL; Fishburn, IS; Gaston, KJ",2007,223.03,body mass,body size,3,"(Sharrock 1976), (Gibbons, Reid & Chapman 1993),",specific,assess avian FD with regard to resource use,they mention that there are 18 traits (break them up into smaller traits based on what they eat) but these are the three general trates provided,,
223,"Petchey, OL; Evans, KL; Fishburn, IS; Gaston, KJ",2007,223.02,annual reproductive output,reproduction,3,"(Sharrock 1976), (Gibbons, Reid & Chapman 1993),",specific,assess avian FD with regard to resource use,they mention that there are 18 traits (break them up into smaller traits based on what they eat) but these are the three general trates provided,,
223,"Petchey, OL; Evans, KL; Fishburn, IS; Gaston, KJ",2007,223.01,diet type,resource use,3,"(Sharrock 1976), (Gibbons, Reid & Chapman 1993),",specific,assess avian FD with regard to resource use,they mention that there are 18 traits (break them up into smaller traits based on what they eat) but these are the three general trates provided,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.01,body size,body size,1,,specific,defining fish ecological niche,trait info found in 566.supp.info.pdf,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.06,gregariousness,defense,1,,specific,"important component of fish behavior; determines the ability of escaping from predation, impacting local ecological processes with schooling species potentially massive nutrient cycling and recource depletion",trait info found in 566.supp.info.pdf,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.05,level in water collumn,habitat,1,,specific,"determines fish ecological niche, influences set of potential prey available and fish inmpacts on nutrient transfer between vertical strata",trait info found in 566.supp.info.pdf,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.03,mobility,locomotion,1,,specific,"determines energy needs, with mobile species requiring a lot of energy by mass unit compared with sedentary species",trait info found in 566.supp.info.pdf,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.02,diet,resource use,1,,specific,determines fish impact on ecosystem functioning through trophic interactions with other food-web components,trait info found in 566.supp.info.pdf,,
566,"Mouillot, David (david.mouillot@univ-montp2.fr) ; Villeger, Sebastien; Parravicini, Valeriano; Kulbicki, Michel; Ernesto Arias-Gonzalez, Jesus; Bender, Mariana; Chabanet, Pascale; Floeter, Sergio R.; Friedlander, Alan; Vigliola, Laurent; Bellwood, David R.",2014,566.04,activity period,temporal partitioning,1,,specific,has implication on the trophic role a species plays in the food web through both bottom up and top down controls,trait info found in 566.supp.info.pdf,,
504,"Leroy, Boris (leroy.boris@gmail.com) ; Le Viol, Isabelle; Petillon, Julien",2014,504.04,vertical stratification,habitat,1,NA,general,functional traits related to hunting modes,trait info from 504.supp.info.pdf,,
504,"Leroy, Boris (leroy.boris@gmail.com) ; Le Viol, Isabelle; Petillon, Julien",2014,504.01,adult resource allocation,resource use,1,NA,general,functional traits related to hunting modes,trait info from 504.supp.info.pdf,,
504,"Leroy, Boris (leroy.boris@gmail.com) ; Le Viol, Isabelle; Petillon, Julien",2014,504.02,foraging strategy,resource use,1,NA,general,functional traits related to hunting modes,trait info from 504.supp.info.pdf,,
504,"Leroy, Boris (leroy.boris@gmail.com) ; Le Viol, Isabelle; Petillon, Julien",2014,504.03,prey range,resource use,1,NA,general,functional traits related to hunting modes,trait info from 504.supp.info.pdf,,
61,"Concostrina-Zubiri, L; Pescador, DS; Martinez, I; Escudero, A",2014,61.01,morphology,reproduction,4,NA,general,multinomial traits reflecting key functional roles performed by BSC in drylands,Traits are based on expert knowledge and previous work,,
259,"Sheehan, C; Kirwan, L; Connolly, J; Bolger, T",2008,259.01,biomass,body size,4,NA,specific,traits to vary species richness and evenness,"traits were assigned, and controlled, functional diveristy was never really measured",note says that fxnl div was never really measured,
259,"Sheehan, C; Kirwan, L; Connolly, J; Bolger, T",2008,259.02,food supply,resource use,4,NA,specific,traits to vary species richness and evenness,"traits were assigned, and controlled, functional diveristy was never really measured",note says that fxnl div was never really measured,
3,"Alarcon-Gutierrez, E; Floch, C; Augur, C; Le Petit, J; Ziarelli, F; Criquet, S",2009,3.01,functional group,resource use,1,NA,general,,,,
4,"Albert, CH; de Bello, F; Boulangeat, I; Pellet, G; Lavorel, S; Thuiller, W",2012,4.02,max height,body size,2,ANDROSACE,general,differentiates function among plant species,,,
4,"Albert, CH; de Bello, F; Boulangeat, I; Pellet, G; Lavorel, S; Thuiller, W",2012,4.01,leaf dry matter content,growth allocation,2,ANDROSACE,general,differentiates function among plant species,,,
8,"Ammondt, SA; Litton, CM",2012,8.01,growth form,resource use,1,NA,specific,Represent different functional groups in terms of light acquisition and use (Wagner et al. 1999).,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.01,number of leaves,body size,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.02,canopy height,body size,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.04,specific leaf area,growth allocation,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.1,photosynthetic nutrient use efficiency,growth allocation,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.05,photosynthetic rate by area,metabolism,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.06,photosynthetic rate by mass,metabolism,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.03,rachis length,reproduction,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.07,leaf N isotope,resource use,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.08,stomatal conductance,resource use,1,NA,none,None,,,
9,"Andersen, KM; Endara, MJ; Turner, BL; Dalling, JW",2012,9.09,water use efficiency,resource use,1,NA,none,None,,,
10,"Angelini, C; Billiman, BR",2014,10.01,feeding guild,resource use,4,"Consultation with experts at Florida Department of Agriculture and Consumer Services, Division of Plant Industries",none,NA,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.06,height,body size,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.08,body size,body size,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.04,seed dispersal mode,dispersal,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.16,ballooning,dispersal,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.17,migration type,dispersal,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.07,shade tolerance,environmental tolerance,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.01,Raunkier life form,growth allocation,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.03,foliage persistence,growth allocation,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.12,light requirement,habitat,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.13,moisture requirement,habitat,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.15,vertical stratification,habitat,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.2,nest height,habitat,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.21,cavity nester,habitat,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.11,wing condition,locomotion,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.23,wing chord length,locomotion,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.02,reproduction mode,reproduction,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.05,seed size,reproduction,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.22,clutch size,reproduction,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.09,feeding guild,resource use,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.14,prey capture strategy,resource use,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.18,diet,resource use,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.19,foraging substrate,resource use,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
12,"Aubin, I; Venier, L; Pearce, J; Moretti, M",2013,12.1,diel activity,temporal partitioning,3,More than 3,general,species traits considered to be sensitive to environmental changes following harvest,,,
14,"Audino, LD; Louzada, J; Comita, L",2014,14.05,biomass,body size,1,NA,general,important for ecosystem function,,,
14,"Audino, LD; Louzada, J; Comita, L",2014,14.01,habitat specificity,habitat,1,NA,general,important for ecosystem function,"*not used in the FD calculations, just other parts of the paper",,
14,"Audino, LD; Louzada, J; Comita, L",2014,14.02,food relocation habit,resource use,1,NA,general,important for ecosystem function,,,
14,"Audino, LD; Louzada, J; Comita, L",2014,14.03,diet,resource use,1,NA,general,important for ecosystem function,,,
14,"Audino, LD; Louzada, J; Comita, L",2014,14.04,diel activity,temporal partitioning,1,NA,general,important for ecosystem function,,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.03,body size,body size,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.01,microhabitat distribution,habitat,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.04,body shape,locomotion,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,Best guesstimate on function,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.02,eye size,resource use,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.05,life style,unclassified,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,,,
15,"Baccaro, FB; Rocha, IF; del Aguila, BEG; Schietti, J; Emilio, T; Pinto, JLPD; Lima, AP; Magnusson, WE",2013,15.06,natural history information,unclassified,3,"Delabie et al., 2000; Silvestre et al., 2003; Silva and Brandao, 2010",general,based on prior traits used to assign functional groups for neotropical ants,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.01,biogeographic origin,biogeography,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.02,body mass,body size,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.06,nest location,habitat,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.03,mobility,locomotion,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.07,clutch size,reproduction,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.04,foraging method,resource use,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
17,"Barbaro, L; Giffard, B; Charbonnier, Y; van Halder, I; Brockerhoff, EG",2014,17.05,adult diet,resource use,3,"Higgins et al., 2006; Barbaro & van Halder, 2009",general,links with ecosystem function or with ecosystem response to disturbance,,,
18,"Beche, LA; Statzner, B",2009,18.01,max size,body size,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.04,aquatic stage,development,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.06,dispersal mode,dispersal,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.07,mechanisms for resistance against unfavourable conditions,environmental tolerance,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.09,locomotion,locomotion,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.02,life cycle duration,longevity,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.08,respiration,metabolism,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.03,potential number of reproductive cycles per year,reproduction,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.05,reproduction,reproduction,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.1,food eaten,resource use,3,More than 3,none,NA,,,
18,"Beche, LA; Statzner, B",2009,18.11,feeding habit,resource use,3,More than 3,none,NA,,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.07,height at reproductive maturity,body size,1,NA,specific,Trait pertaining to both plant competitive and reproductive strategies (Garnier & Navas 2012),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.01,specific leaf area,growth allocation,1,NA,specific,Leaf traits were chosen for their relationship to resource use and growth strategies (Grime 1977; Westoby et al. 2002; Wright et al. 2004),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.02,leaf blade thickness,growth allocation,1,NA,specific,Leaf traits were chosen for their relationship to resource use and growth strategies (Grime 1977; Westoby et al. 2002; Wright et al. 2004),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.03,leaf N%,growth allocation,1,NA,specific,Leaf traits were chosen for their relationship to resource use and growth strategies (Grime 1977; Westoby et al. 2002; Wright et al. 2004),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.05,seed mass,reproduction,1,NA,specific,Chosen to represent regenerative strategies and temporal reproductive niches (Grubb 1977; Thompson 2000),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.04,leaf C isotope ratio,resource use,1,NA,specific,Leaf traits were chosen for their relationship to resource use and growth strategies (Grime 1977; Westoby et al. 2002; Wright et al. 2004),,,
19,"Bernard-Verdier, M; Flores, O; Navas, ML; Garnier, E",2013,19.06,flowering start,temporal partitioning,1,NA,specific,Chosen to represent regenerative strategies and temporal reproductive niches (Grubb 1977; Thompson 2000),,,
20,"Bernhardt-Romermann, M; Romermann, C; Sperlich, S; Schmidt, W",2011,20.01,max canopy height,body size,2,"LEDA, http://www.leda-traitbase.org/LEDAportal/",general,"Competitive ability, mainly in relation to persistence",,,
20,"Bernhardt-Romermann, M; Romermann, C; Sperlich, S; Schmidt, W",2011,20.11,dispersal type,dispersal,2,"LEDA, http://www.leda-traitbase.org/LEDAportal/",specific,Dispersal ability,,,
20,"Bernhardt-Romermann, M; Romermann, C; Sperlich, S; Schmidt, W",2011,20.03,leaf anatomy,environmental tolerance,2,"BiolFlor, http://www.ufz.de/index.php?en=14718",general,"Competitive ability, mainly in relation to persistence",,,
20,"Bernhardt-Romermann, M; Romermann, C; Sperlich, S; Schmidt, W",2011,20.02,specific leaf area,growth allocation,2,"LEDA, http://www.leda-traitbase.org/LEDAportal/",general,"Competitive ability, mainly in relation to persistence",,,
